month,spend,cpl_eff,leads,demos,demo_cap,closer_capped,new_ads,warm,referrals,new,entry,upsold,active,case_studies,penetration,mrr,collections,tools,team,cash_flow,cac_ads,cac,payback,team_size,has_va,has_media,n_am,churn,close,metros,p_entry,p_full,premium_on,cum_cash
1,3000.0,31.249999999999996,96.00000000000001,21.504,88,False,4.300800000000001,0,0.0,4.300800000000001,4.300800000000001,0.0,4.300800000000001,0.0,0.0,2150.4,2150.4,529.024,0.0,-1378.6239999999998,697.5446428571428,697.5446428571428,1.4841375379939208,0,False,False,0,0.03,0.2,1,500,1500,False,-1378.6239999999998
2,3000.0,26.083571428571428,115.01492455568639,25.763343100473755,88,False,5.152668620094751,0,0.0,5.152668620094751,9.324444620094752,0.0,9.324444620094752,0.0,0.014336000000000002,4662.222310047376,4662.222310047376,679.7333386028425,0.0,982.4889714445331,582.2225765306122,582.2225765306122,1.2387714394268343,0,False,False,0,0.03,0.2,1,500,1500,False,-396.13502855546665
3,3000.0,30.5502646548183,98.19882197082207,21.996536121464143,88,False,4.399307224292829,0,0.0,4.399307224292829,11.623038281784737,1.8209802240000001,13.444018505784737,2.02331136,0.031081482066982507,8542.98947689237,8542.98947689237,803.3205551735421,0.0,4739.668921718828,681.9255503307655,681.9255503307655,1.4509054262356713,0,False,False,0,0.03,0.2,1,500,1500,False,4343.533893163361
4,5000.0,29.466421399758037,169.68467029528932,39.63833898097959,110,False,11.937702873783259,0,0.0,11.937702873783259,21.030384350023233,3.948016474371218,24.978400824394452,4.4473843123235755,0.044813395019282456,16437.216886568443,16437.216886568443,1149.3520247318336,1200.0,9087.86486183661,418.8410494770018,418.8410494770018,0.8911511691000038,1,True,False,0,0.03,0.301165568,1,500,1500,False,13431.398754999971
5,5000.0,34.63949301027425,144.3439139977301,33.71873830986976,110,False,11.801558408454413,0,0.0,11.801558408454413,30.338342552675243,5.692264655441786,36.03060720811703,6.517038395992136,0.08326133608131484,23707.5682595003,23707.5682595003,1480.9182162435109,4000.0,13226.650043256792,423.67285971470466,423.67285971470466,0.9014316164142653,2,True,True,0,0.03,0.35,1,500,1500,False,26658.048798256765
6,5000.0,42.6396760700093,117.26167881272343,27.392328170652192,132,False,9.587314859728266,0,0.0,9.587314859728266,33.96102405054906,10.575979801052732,44.53700385160179,12.133130712963471,0.12010202402705678,32844.48172685363,32844.48172685363,1736.1101155480537,8500.0,17608.371611305574,521.5224568249671,521.5224568249671,1.1096222485637597,3,True,True,1,0.03,0.35,1,500,1500,False,44266.42040956234
7,8000.0,42.221410934622256,189.47732496167882,44.26190311104817,132,False,15.49166608886686,0,0.0,15.49166608886686,43.4370205799678,15.255539244952793,58.69255982492059,17.68517386622085,0.1484566795053393,44601.81915741309,44601.81915741309,2160.7767947476177,8500.0,25941.042362665474,516.4066895134816,516.4066895134816,1.0987376372627269,3,True,True,1,0.03,0.35,1,500,1500,False,70207.46277222782
8,8000.0,52.07558226698664,153.62286222715184,35.88630061626267,132,False,12.560205215691935,0,0.0,12.560205215691935,50.634798130077456,18.857190115787454,69.49198824586492,22.19552614198001,0.19564186608306863,53603.18423871991,53603.18423871991,2484.7596473759477,13000.0,30118.42459134396,636.9322684318327,636.9322684318327,1.3551750392166653,4,True,True,2,0.03,0.35,1,500,1500,False,100325.88736357179
9,8000.0,60.92458374090979,131.30988360989227,30.67398881127083,132,False,10.735896083944791,0,0.0,10.735896083944791,53.292401389763256,24.850723292670505,78.14312468243376,29.483580453487427,0.2316399608195497,63922.28563388738,63922.28563388738,2744.293740473013,13000.0,40177.99189341437,745.1636954612255,745.1636954612255,1.5854546711940969,4,True,True,2,0.03,0.35,1,500,1500,False,140503.87925698617
10,8000.0,58.6178399114138,136.47722284017968,31.881079255465973,132,False,11.15837773941309,0,0.0,11.15837773941309,57.5339533981334,29.423255283240433,86.95720868137383,35.392528997209695,0.2604770822747792,72901.85962392735,72901.85962392735,3008.7162604412147,13000.0,48893.14336348613,716.9500967638675,716.9500967638675,1.5254257377954628,4,True,True,2,0.03,0.35,1,500,1500,False,189397.0226204723
11,8000.0,66.693326113513,119.95203217761077,28.020794716689874,132,False,9.807278150841455,0,0.0,9.807278150841455,61.06958086560821,33.08618970616586,94.15577057177407,40.44323130990152,0.2898573622712461,80164.07499205289,80164.07499205289,3224.673117153222,13000.0,55939.401874899675,815.7207205664507,815.7207205664507,1.7355760012052144,4,True,True,2,0.03,0.35,1,500,1500,False,245336.424495372
12,8000.0,74.40206042173446,107.52390397058178,25.117583967527903,132,False,8.791154388634766,0,0.0,8.791154388634766,63.30413490151852,36.81811694173708,100.12225184325561,45.69269011740841,0.31385256857258026,86879.24286336488,86879.24286336488,3403.6675552976685,17500.0,57975.575308067215,910.0056313812925,910.0056313812925,1.9361821944282818,5,True,True,3,0.03,0.35,1,500,1500,False,303311.9998034392
13,6684.305953475581,69.34145776895764,96.39696320990775,22.51833060583445,132,False,7.881415712042057,0.0,0.0,7.881415712042057,65.133975961058,39.866024038941994,105.0,50.306524123471775,0.3337408394775187,92366.02403894199,92366.02403894199,3550.0,17500.0,64631.71808546642,848.1098063717911,848.1098063717911,1.8044889497272152,5,True,True,3,0.03,0.35,1,500,1500,False,367943.7178889056
14,2926.9374228048505,75.9702868852459,38.52739726027397,9.0,132,False,3.15,0.0,0.0,3.15,62.60773795830635,42.392262041693634,104.99999999999999,54.442322705605,0.35,94892.26204169363,94892.26204169363,3549.9999999999995,17500.0,70915.32461888877,929.1864834301113,929.1864834301113,1.976992517936407,5,True,True,3,0.03,0.35,1,500,1500,False,438859.0425077944
15,3092.613125982497,80.27049180327869,38.527397260274135,9.000000000000039,132,False,3.1500000000000137,0.0,0.0,3.1500000000000137,60.542475,44.45752499999999,105.0,58.150134727335185,0.35,96957.525,96957.525,3550.0,17500.0,72814.9118740175,981.7819447563439,981.7819447563439,2.088897754800732,5,True,True,3,0.03,0.35,1,500,1500,False,511673.9543818119
16,2761.2617196272176,71.67008196721311,38.52739726027398,9.0,132,False,3.15,0.0,0.0,3.15,60.542474999999996,44.45752499999999,104.99999999999999,59.63205222733519,0.35,96957.525,96957.525,3549.9999999999995,17500.0,73146.26328037278,876.5910221038787,876.5910221038787,1.8650872810720822,5,True,True,3,0.03,0.35,1,500,1500,False,584820.2176621847
17,2926.937422804863,75.9702868852459,38.527397260274135,9.000000000000039,132,False,3.1500000000000137,0.0,0.0,3.1500000000000137,60.542475,44.45752499999999,105.0,61.113969727335196,0.35,96957.525,96957.525,3550.0,17500.0,72980.58757719513,929.1864834301113,929.1864834301113,1.976992517936407,5,True,True,3,0.03,0.35,1,500,1500,False,657800.8052393799
