month,spend,cpl_eff,leads,demos,demo_cap,closer_capped,new_ads,warm,referrals,new,entry,upsold,active,case_studies,penetration,mrr,collections,tools,team,cash_flow,cac_ads,cac,payback,team_size,has_va,has_media,n_am,churn,close,metros,p_entry,p_full,premium_on,cum_cash
1,2000.0,35.0,57.142857142857146,10.400000000000002,88,False,2.0800000000000005,0,0.0,2.0800000000000005,2.0800000000000005,0.0,2.0800000000000005,0.0,0.0,1040.0000000000002,1040.0000000000002,462.40000000000003,0.0,-1422.3999999999999,961.5384615384613,961.5384615384613,2.04582651391162,0,False,False,0,0.03,0.2,1,500,1500,False,-1422.3999999999999
2,2000.0,27.812380952380952,71.91042016231209,13.087696469540802,88,False,2.6175392939081608,0,0.0,2.6175392939081608,4.635139293908161,0.0,4.635139293908161,0.0,0.006933333333333335,2317.5696469540803,2317.5696469540803,539.0541788172447,0.0,-221.48453186316442,764.0763997906853,764.0763997906853,1.625694467639756,0,False,False,0,0.03,0.2,1,500,1500,False,-1643.8845318631643
3,2000.0,31.09009286260544,64.32917421117006,11.707909706432952,88,False,2.3415819412865906,0,0.0,2.3415819412865906,5.956984656377506,0.8806824000000001,6.837667056377507,0.9785360000000001,0.015450464313027202,4299.515928188754,4299.515928188754,605.1300116913252,0.0,1694.3859164974283,854.123430291358,854.123430291358,1.8172838942369318,0,False,False,0,0.03,0.2,1,500,1500,False,50.501384634264014
4,2000.0,34.3026470991223,58.30453825387645,10.611425962205516,88,False,2.64146830820874,0,0.0,2.64146830820874,7.311464200157737,1.9625411527371848,9.274005352894921,2.209957360819094,0.022792223521258356,6599.543829184646,6599.543829184646,678.2201605868477,0.0,3921.323668597798,757.1546453102293,757.1546453102293,1.6109673304472965,0,False,False,0,0.03,0.2489268,1,500,1500,False,3971.825053232062
5,2000.0,37.845099189041484,52.847001140351736,9.618154207544018,88,False,2.986416375931556,0,0.0,2.986416375931556,9.087099148234111,2.895102420005518,11.98220156823963,3.31155458509737,0.030913351176316405,8886.203204125333,8886.203204125333,759.4660470471889,0.0,6126.737157078144,669.698979726542,669.698979726542,1.424891446226685,0,False,False,0,0.03,0.3104978680409547,1,500,1500,False,10098.562210310207
6,2000.0,32.13226283823787,62.242737465099104,11.328178218648038,88,False,3.964862376526813,0,0.0,3.964862376526813,11.66093766127678,3.9266602364424736,15.587597897719252,4.554233350694172,0.0399406718941321,11720.459185302101,11720.459185302101,867.6279369315776,0.0,8852.831248370523,504.4311277588363,504.4311277588363,1.0732577186358219,0,False,False,0,0.03,0.35,1,500,1500,False,18951.39345868073
7,2000.0,36.335032006894295,55.04329814875394,10.017880263073218,88,False,3.506258092075626,0,0.0,3.506258092075626,13.552903997862801,5.0733240550005,18.6262280528633,5.959192934751172,0.051958659659064176,14386.438081432148,14386.438081432148,958.786841585899,0.0,11427.65123984625,570.4086657283249,570.4086657283249,1.213635458996436,0,False,False,0,0.03,0.35,1,500,1500,False,30379.04469852698
8,2000.0,40.417485368575534,49.48353371719146,9.006003136528847,88,False,3.152101097785096,0,0.0,3.152101097785096,14.619675421178677,6.59986688788382,21.219542309062497,7.824462439788212,0.06208742684287767,17209.63804241507,17209.63804241507,1036.586269271875,0.0,14173.051773143196,634.4974155192392,634.4974155192392,1.3499945011047643,0,False,False,0,0.03,0.35,1,500,1500,False,44552.09647167018
9,2000.0,44.40420233612723,45.04078206068351,8.1974223350444,88,False,2.86909781726554,0,0.0,2.86909781726554,15.565615768333576,7.886438088722587,23.452053857056164,9.473981559205189,0.070731807696875,19612.465017250666,19612.465017250666,1103.561615711685,0.0,16508.90340153898,697.0832391856707,697.0832391856707,1.4831558280546184,0,False,False,0,0.03,0.35,1,500,1500,False,61060.99987320916
10,2000.0,48.30984927544622,41.39942537590388,7.534695418414508,88,False,2.6371433964450777,0,0.0,2.6371433964450777,16.401175326420947,8.984460311368606,25.385635637789555,10.956887520658187,0.07817351285685388,21677.27813026338,21677.27813026338,1161.5690691336868,0.0,18515.709061129695,758.39637795049,758.39637795049,1.6136093147882766,0,False,False,0,0.03,0.35,1,500,1500,False,79576.70893433885
11,2000.0,40.11049740344617,49.86225874696249,9.074931091947175,88,False,3.176225882181511,0,0.0,3.176225882181511,17.870575587490514,9.929716863346865,27.80029245083738,12.30665458879076,0.08461878545929852,23829.863088765553,23829.863088765553,1234.0087735251213,0.0,20595.85431524043,629.6781382016666,629.6781382016666,1.339740719578014,0,False,False,0,0.03,0.35,1,500,1500,False,100172.56324957928
12,2000.0,44.040660713028345,45.412579366874695,8.265089444771196,88,False,2.892781305669918,0,0.0,2.892781305669918,19.110659925763887,10.748405057218287,29.859064982982176,13.547298699648348,0.09266764150279126,25677.937548709375,25677.937548709375,1295.7719494894652,0.0,22382.16559921991,691.3761493411043,691.3761493411043,1.4710130837044773,0,False,False,0,0.03,0.35,1,500,1500,False,122554.72884879919
13,2000.0,47.90604332198812,41.74838624341225,7.59820629630103,88,False,2.6593722037053604,0.0,0.0,2.6593722037053604,19.497397665487433,11.528086272050988,31.02548393753842,15.010744774863479,0.09953021660994059,27040.8282408202,27040.8282408202,1330.7645181261528,0.0,23710.063722694045,752.0571950076627,752.0571950076627,1.6001216915056653,0,False,False,0,0.05,0.35,1,500,1500,False,146264.79257149325
14,2000.0,51.291708956128176,38.99265672178478,7.096663523364831,88,False,2.4838322331776905,0.0,0.0,2.4838322331776905,19.831529207625557,12.126512766213635,31.958041973839194,16.31611233904703,0.10341827979179474,28105.53375313323,28105.53375313323,1358.741259215176,0.0,24746.792493918052,805.207361948637,805.207361948637,1.7132071530822064,0,False,False,0,0.05,0.35,1,500,1500,False,171011.5850654113
15,2000.0,54.58807859973845,36.638036203193685,6.668122588981251,88,False,2.333842906143438,0.0,0.0,2.333842906143438,20.09375811715788,12.60022466413279,32.69398278129067,17.516154045969074,0.10652680657946398,28947.216054778124,28947.216054778124,1380.81948343872,0.0,25566.396571339403,856.9557080021735,856.9557080021735,1.8233100170259011,0,False,False,0,0.05,0.35,1,500,1500,False,196577.9816367507
16,2000.0,44.46070403648254,44.983543183636634,8.187004859421869,88,False,2.865451700797654,0.0,0.0,2.865451700797654,20.945775546398348,12.97895979662544,33.92473534302379,18.636983341190508,0.10897994260430224,29941.327468137337,29941.327468137337,1417.7420602907137,0.0,26523.585407846622,697.9702360515312,697.9702360515312,1.4850430554287897,0,False,False,0,0.05,0.35,1,500,1500,False,223101.5670445973
