month,spend,cpl_eff,leads,demos,demo_cap,closer_capped,new_ads,warm,referrals,new,entry,upsold,active,case_studies,penetration,mrr,collections,tools,team,cash_flow,cac_ads,cac,payback,team_size,has_va,has_media,n_am,churn,close,metros,p_entry,p_full,premium_on,cum_cash
1,2500.0,31.249999999999996,80.00000000000001,17.92,88,False,3.5840000000000005,2.0,0.0,5.5840000000000005,5.5840000000000005,0.0,5.5840000000000005,0.0,0.0,2792.0000000000005,2792.0000000000005,567.52,0.0,-275.5199999999995,697.5446428571428,447.7077363896848,0.9525696518929464,0,False,False,0,0.03,0.2,1,500,1500,False,-275.5199999999995
2,2500.0,26.806462585034012,93.26109299463273,20.89048483079773,88,False,4.178096966159546,2.0,0.44672000000000006,6.624816966159546,12.041296966159546,0.0,12.041296966159546,0.0,0.018613333333333336,6020.648483079773,6020.648483079773,761.2389089847863,0.0,2759.409574094986,598.3585398445092,377.3689164199306,0.8029125881275119,0,False,False,0,0.03,0.2,1,500,1500,False,2483.8895740949865
3,2500.0,32.16743867033306,77.71834200481946,18.155004692325825,110,False,3.6310009384651654,2.0,0.9633037572927637,6.594304695757929,15.910069232932688,2.36429352,18.27436275293269,2.6269928,0.040137656553865156,11501.474896466345,11501.474896466345,948.2308825879807,1200.0,6853.244013878364,688.5153824985673,379.1150265786525,0.8066277161247924,1,True,False,0,0.03,0.2,1,500,1500,False,9337.13358797335
4,2500.0,32.03356863995147,78.04313119463256,18.23087544706617,110,False,6.040794016270214,2.0,1.461949020234615,9.502743036504828,22.130529564892754,5.098345341956783,27.228874906849537,5.743637941729759,0.06091454250977563,18712.78279538155,18712.78279538155,1216.8662472054862,1200.0,13795.916548176065,413.8528798145617,263.08193227957855,0.5597487920842097,1,True,False,0,0.03,0.33134964,1,500,1500,False,23133.050136149417
5,2500.0,39.00011022601005,64.10238292948961,14.974316652328772,132,False,5.24101082831507,2.0,2.178309992547963,9.419320820863033,28.09387291910162,7.737456561405465,35.83132948050709,8.845928585849077,0.09076291635616512,25653.121301659008,25653.121301659008,1474.9398844152126,5700.0,15978.181417243795,477.0072190069723,265.4119174349282,0.564706207308358,2,True,False,1,0.03,0.35,1,500,1500,False,39111.23155339321
6,2500.0,46.328172309825646,53.96284539957516,12.605720685340756,132,False,4.412002239869264,2.0,2.866506358440567,9.27850859830983,32.50605641446707,11.528841779934627,44.03489819440169,13.316494047372773,0.11943776493502362,33546.29087713548,33546.29087713548,1721.0469458320508,5700.0,23625.243931303427,566.6361583882785,269.4398537772977,0.5732762846325483,2,True,False,1,0.03,0.35,1,500,1500,False,62736.47548469664
7,2500.0,45.72432939753491,54.67548749079697,12.772193877850173,132,False,4.47026785724756,2.0,3.5227918555521356,9.993059712799695,37.53574690267524,15.171164058694101,52.706910961369346,17.747813527547788,0.14678299398133898,41524.61953937878,41524.61953937878,1981.2073288410804,5700.0,31343.412210537696,559.2506041772862,250.17362768260594,0.5322843142183105,2,True,False,1,0.03,0.35,1,500,1500,False,94079.88769523433
8,2500.0,53.353170503322445,46.857571469802686,10.945928695345907,132,False,3.8310750433710674,2.0,4.216552876909548,10.047627920280615,42.52873548280823,18.644596070000652,61.17333155280888,22.11288789762265,0.17568970320456448,49231.26184640509,49231.26184640509,2235.1999465842664,5700.0,38796.06189982082,652.5583476433764,248.81494615797624,0.5293935024637793,2,True,False,1,0.03,0.35,1,500,1500,False,132875.94959505514
9,2500.0,61.41269735286244,40.70819403413609,9.50943412637419,132,False,3.3283019442309665,2.0,4.893866524224711,10.222168468455678,47.243930439081694,22.316369635598583,69.56030007468027,26.814122839509267,0.20391110517602962,57096.519672938724,57096.519672938724,2486.809002240408,10200.0,41909.71067069832,751.1337738853039,244.56650344931063,0.5203542626581077,3,True,False,2,0.03,0.35,1,500,1500,False,174785.66026575345
10,2500.0,59.290125464859834,42.165537353799394,9.849869525847538,132,False,3.447454334046638,2.0,5.564824005974422,11.012278340021059,52.58467496634388,25.90109444611704,78.48576941246093,31.54102939460528,0.2318676669156009,65143.9791523475,65143.9791523475,2754.5730823738277,10200.0,49689.40606997367,725.1727674273465,227.019325411931,0.48301984130198083,3,True,False,2,0.03,0.35,1,500,1500,False,224475.0663357271
