month,spend,cpl_eff,leads,demos,demo_cap,closer_capped,new_ads,warm,referrals,new,entry,upsold,active,case_studies,penetration,mrr,collections,tools,team,cash_flow,cac_ads,cac,payback,team_size,has_va,has_media,n_am,churn,close,metros,p_entry,p_full,premium_on,cum_cash
1,1000.0,31.249999999999996,32.00000000000001,7.168000000000001,88,False,1.4336000000000002,1.0,0.0,2.4336,2.4336,0.0,2.4336,0.0,0.0,1216.8000000000002,1216.8000000000002,473.00800000000004,0.0,-256.20799999999986,697.5446428571428,410.913872452334,0.8742848350049659,0,False,False,0,0.03,0.2,1,500,1500,False,-256.20799999999986
2,1000.0,25.031683673469384,39.94937028785968,8.948658944480568,88,False,1.7897317888961137,1.0,0.146016,2.9357477888961134,5.2963397888961135,0.0,5.2963397888961135,0.0,0.008112000000000001,2648.1698944480568,2648.1698944480568,558.8901936668834,0.0,1089.2797007811732,558.7429391399415,340.6287160573884,0.7247419490582732,0,False,False,0,0.03,0.2,1,500,1500,False,833.0717007811734
3,1000.0,28.15258320767626,35.520719097895565,7.956641077928606,88,False,1.5913282155857214,1.0,0.3177803873337668,2.9091086029194884,7.016159790148718,1.030398408,8.046558198148718,1.14488712,0.017654465962987045,5053.677507074359,5053.677507074359,641.3967459444616,0.0,3412.280761129897,628.405875171345,343.74790923805045,0.7313785302937243,0,False,False,0,0.03,0.2,1,500,1500,False,4245.35246191107
4,1768.7871274760255,26.59787319204332,66.50107377777684,14.896240526222012,88,False,3.8319738009890827,1.0,0.48279349188892307,5.314767292878006,10.877431996764702,2.2424967483175586,13.11992874508226,2.5260096672861763,0.026821860660495727,8802.46112085869,8802.46112085869,793.5978623524678,0.0,6240.076131030197,461.58643543426064,332.8061286608482,0.708098146086911,0,False,False,0,0.03,0.257244356,1,500,1500,False,10485.428592941267
5,3000.0,31.051830606817173,96.61266152023175,22.56871773112614,110,False,7.364183504579105,1.0,0.7871957247049356,9.151379229284041,18.47075713812668,3.4069529738871576,21.877710112013837,3.8945998095296495,0.04373309581694087,14345.808029894077,14345.808029894077,1056.331303360415,1200.0,9089.476726533661,407.3771380268535,327.8194384514328,0.6974881669179421,1,True,False,0,0.03,0.3263004833643088,1,500,1500,False,19574.90531947493
6,3000.0,38.02244649524633,78.90076195846757,18.431217993498024,110,False,6.450926297724308,1.0,1.3126626067208302,8.763588904445138,24.429924282787,5.555043430311555,29.984967713098555,6.394932082464107,0.07292570037337946,20547.52728686083,20547.52728686083,1299.5490313929567,1200.0,15047.978255467873,465.049492358688,342.3255053050601,0.7283521389469364,1,True,False,0,0.03,0.35,1,500,1500,False,34622.8835749428
7,3000.0,38.257317024393366,78.41637190833745,18.31806447778763,132,False,6.41132256722567,1.0,1.7990980627859132,9.210420630011583,29.032707461739967,9.263131849977217,38.29583931171719,10.700198440880783,0.09994989237699518,28411.051505835807,28411.051505835807,1548.8751793515157,5700.0,18162.176326484292,467.9221749558875,325.7180231513734,0.6930170705348371,2,True,False,1,0.03,0.35,1,500,1500,False,52785.0599014271
8,3000.0,45.23468838776585,66.32078404703631,15.492535153387683,132,False,5.422387303685689,1.0,2.297750358703031,8.72013766238872,33.17131654018989,12.695785254564493,45.86710179475438,14.823028840976997,0.12765279770572396,35629.33615194169,35629.33615194169,1776.0130538426315,5700.0,25153.323098099056,553.2618442730657,344.03126603602334,0.731981417097922,2,True,False,1,0.03,0.35,1,500,1500,False,77938.38299952616
9,3000.0,52.30184630640142,57.359351760261255,13.399144571197029,132,False,4.68970059991896,1.0,2.752026107685263,8.441726707604223,36.71816560473837,16.214649843777615,52.93281544851598,19.156071226365945,0.15289033931584795,42681.057568035605,42681.057568035605,1987.9844634554795,5700.0,31993.073104580122,639.6996857436574,355.37753162485467,0.7561224077124568,2,True,False,1,0.03,0.35,1,500,1500,False,109931.45610410628
10,3000.0,50.45323950282524,59.46099853175946,13.890089257019008,132,False,4.861531239956653,1.0,3.175968926910959,9.037500166867613,40.96197091652013,19.420360235407983,60.38233115192811,23.25845998963672,0.17644271816171994,49611.525811372034,49611.525811372034,2211.4699345578433,5700.0,38700.05587681419,617.0895242517764,331.95020133978005,0.7062770241271916,2,True,False,1,0.03,0.35,1,500,1500,False,148631.51198092048
11,3000.0,57.67712107836086,52.01369180552827,12.150398405771405,132,False,4.2526394420199916,1.0,3.6229398691156867,8.875579311135677,45.034421803527025,22.412018724978903,67.44644052850593,27.229870319229125,0.2012744371730937,56135.23898923186,56135.23898923186,2423.393215855178,10200.0,40511.845773376685,705.4442401952159,338.00610583650274,0.7191619273117079,3,True,False,2,0.03,0.35,1,500,1500,False,189143.35775429715
12,3000.0,65.14669079077734,46.04992154758385,10.757261673515586,132,False,3.765041585730455,1.0,4.0467864317103555,8.81182801744081,48.66869440870945,25.566180921382117,74.23487533009157,31.481562272731992,0.2248214684283531,62683.618586427896,62683.618586427896,2627.046259902747,10200.0,46856.57232652515,796.8039480280988,340.45149247832006,0.7243648776134469,3,True,False,2,0.03,0.35,1,500,1500,False,235999.9300808223
13,3000.0,61.774487314036755,48.56373772475361,11.344489132502442,132,False,3.9705711963758543,0.5,4.454092519805494,8.924663716181348,52.37533263439811,28.55716015197206,80.93249278637018,35.65707855965577,0.24744958443363857,69023.40654515714,69023.40654515714,2827.9747835911053,10200.0,52995.43176156603,755.5587978722697,336.1471194215068,0.7152066370670357,3,True,False,2,0.03,0.35,1,500,1500,False,288995.36184238835
14,3000.0,69.2540616249747,43.3187589234207,10.119262084511076,132,False,3.5417417295788765,0.5,4.85594956718221,8.897691296761087,55.97079191040273,31.43141738913742,87.40220929954015,39.8026030504608,0.26977497595456723,75132.5220389075,75132.5220389075,3022.0662789862045,10200.0,58910.455759921286,847.0408711469508,337.166114213476,0.7173747110925022,3,True,False,2,0.03,0.35,1,500,1500,False,347905.81760230963
15,3000.0,77.02512458305961,38.94833038231528,9.098329977308849,132,False,3.184415492058097,0.5,5.244132557972408,8.928548050030505,59.44146896237138,34.26722210821306,93.70869107058445,44.00121109573832,0.2913406976651338,81121.56764350529,81121.56764350529,3211.2607321175337,10200.0,64710.30691138776,942.0881186773436,336.00087978355566,0.7148954889011823,3,True,False,2,0.03,0.35,1,500,1500,False,412616.1245136974
16,3000.0,72.12409176795518,41.59497785638534,9.716586827251616,132,False,3.4008053895380654,0.5,5.622521464235067,9.523326853773133,63.41422476376824,37.00653242847179,100.42075719224003,48.18712996629957,0.31236230356861483,87216.91102459181,87216.91102459181,3412.622715767201,14700.0,66104.28830882462,882.143979549354,315.0159651205716,0.6702467342990885,4,True,False,3,0.03,0.35,1,500,1500,False,478720.412822522
17,1046.6963958513165,80.23278200668284,13.04574476507787,3.0474859771221907,132,False,1.0666200919927666,0.5,6.025245431534402,7.591865523527169,65.3232716572592,39.67672834274081,105.0,52.38756539643642,0.3347358573074668,92176.72834274081,92176.72834274081,3550.0,14700.0,72880.03194688949,981.3207192598195,137.87077663686318,0.2933420779507727,4,True,False,3,0.03,0.35,1,500,1500,False,551600.4447694115
18,0.0,87.4375,0.0,0.0,132,False,0.0,0.23161764705882354,2.9183823529411765,3.15,62.48134930101961,42.518650698980395,105.0,56.86781451479399,0.35,95018.6506989804,95018.6506989804,3550.0,14700.0,76768.6506989804,nan,0.0,0.0,4,True,False,3,0.03,0.35,1,500,1500,False,628369.0954683919
19,0.0,78.06919642857142,0.0,0.0,132,False,0.0,0.23161764705882354,2.9183823529411765,3.15,60.542474999999996,44.457525000000004,105.0,60.43940765033735,0.35,96957.52500000001,96957.52500000001,3550.0,14700.0,78707.52500000001,nan,0.0,0.0,4,True,False,3,0.03,0.35,1,500,1500,False,707076.6204683919
20,0.0,82.75334821428571,0.0,0.0,132,False,0.0,0.23161764705882354,2.9183823529411765,3.15,60.54247499999999,44.457525000000004,105.0,61.92132515033735,0.35,96957.525,96957.525,3550.0,14700.0,78707.525,nan,0.0,0.0,4,True,False,3,0.03,0.35,1,500,1500,False,785784.145468392
21,0.0,87.4375,0.0,0.0,132,False,0.0,0.23161764705882354,2.9183823529411765,3.15,60.542474999999996,44.457525,105.0,63.403242650337354,0.35,96957.525,96957.525,3550.0,14700.0,78707.525,nan,0.0,0.0,4,True,False,3,0.03,0.35,1,500,1500,False,864491.670468392
22,0.0,78.06919642857142,0.0,0.0,132,False,0.0,0.23161764705882354,2.9183823529411765,3.15,60.54247499999998,44.45752499999999,104.99999999999997,64.88516015033736,0.35,96957.52499999998,96957.52499999998,3549.999999999999,14700.0,78707.52499999998,nan,0.0,0.0,4,True,False,3,0.03,0.35,1,500,1500,False,943199.195468392
