month,spend,cpl_eff,leads,demos,demo_cap,closer_capped,new_ads,warm,referrals,new,entry,upsold,active,case_studies,penetration,mrr,collections,tools,team,cash_flow,cac_ads,cac,payback,team_size,has_va,has_media,n_am,churn,close,metros,p_entry,p_full,premium_on,cum_cash
1,4000.0,31.249999999999996,128.00000000000003,28.672000000000004,88,False,5.734400000000001,0,0.0,5.734400000000001,5.734400000000001,0.0,5.734400000000001,0.0,0.0,2867.2000000000003,2867.2000000000003,572.032,0.0,-1704.8319999999999,697.5446428571428,697.5446428571428,1.4841375379939208,0,False,False,0,0.03,0.2,1,500,1500,False,-1704.8319999999999
2,4000.0,26.891190476190477,148.74759834606837,33.319462029519315,88,False,6.663892405903863,0.0,0.22937600000000002,6.893268405903863,12.455636405903864,0.0,12.455636405903864,0.0,0.01911466666666667,6227.818202951932,6227.818202951932,773.6690921771159,0.0,1454.149110774816,600.249787414966,580.2762585849882,1.2346303374148686,0,False,False,0,0.03,0.2,1,500,1500,False,-250.68288922518377
3,4000.0,32.414069289228486,123.4032038467086,28.82698841859113,110,False,5.765397683718227,0.0,0.49822545623615455,6.263623139954381,15.91761682168113,2.4279736320000005,18.34559045368113,2.6977484800000004,0.041518788019679544,11600.768858840565,11600.768858840565,950.3677136104338,1200.0,5450.401145230131,693.7942912934178,638.6080245608666,1.358740477789078,1,True,False,0,0.03,0.2,1,500,1500,False,5199.718256004948
4,4000.0,32.071423497917266,124.72162329370138,29.134971201408643,110,False,9.756935453953927,0.0,0.7338236181472452,10.490759072101172,23.012203079730142,5.273778732441725,28.28598181217187,5.940686601557473,0.061151968178937095,19416.769638527658,19416.769638527658,1248.579454365156,1200.0,12968.190184162502,409.96479057151384,381.28794804157565,0.8112509532799482,1,True,False,0,0.03,0.33488742400000004,1,500,1500,False,18167.908440167448
5,4000.0,36.35008817374228,110.04099854947329,25.70557726115696,132,False,8.996952041404935,0.0,1.1314392724868747,10.12839131389181,29.79817894565766,7.767614726040859,37.56579367169852,8.88740810774901,0.0942866060405729,26550.511561890118,26550.511561890118,1526.9738101509556,8500.0,12523.53775173916,444.59501190976374,394.9294489159118,0.8402754232253442,3,True,True,1,0.03,0.35,1,500,1500,False,30691.44619190661
6,4000.0,43.47857577688444,91.99933366093873,21.491044343195288,132,False,7.52186552011835,0.0,1.5026317468679409,9.024497266986291,33.486890999351225,11.976426129182627,45.46331712853385,13.822785713219005,0.12521931223899507,34708.08469344956,34708.08469344956,1763.8995138560156,8500.0,20444.18517959354,531.7829718307784,443.2379867444727,0.9430595462648356,3,True,True,1,0.03,0.35,1,500,1500,False,51135.631371500145
7,4000.0,42.673359254749144,93.73529691255412,21.89656535877264,132,False,7.663797875570424,0.0,1.8185326851413541,9.482330560711778,37.6762033058241,15.90554486956551,53.58174817538961,18.587687406839407,0.15154439042844617,42696.41895726031,42696.41895726031,2007.4524452616884,8500.0,28188.966511998624,521.9344331549553,421.83722391763416,0.8975260083353919,3,True,True,1,0.03,0.35,1,500,1500,False,79324.59788349876
8,4000.0,49.43240294004341,80.91858299608866,18.90258098788631,132,False,6.615903345760208,0.0,2.1432699270155844,8.759173272775794,41.48407321409684,19.249395788806872,60.73346900290371,22.83326214609311,0.1786058272512987,49616.13029025873,49616.13029025873,2222.0040700871114,8500.0,34894.126220171616,604.6037541590438,456.66410235681917,0.97162574969536,3,True,True,1,0.03,0.35,1,500,1500,False,114218.72410367038
9,8000.0,39.54466366199555,202.30289650151735,47.257956622754456,132,False,16.540284817964057,0.0,2.4293387601161487,18.969623578080206,55.19430842469596,22.686780086200837,77.8810885108968,27.294224558379966,0.10122244833817286,61627.32434164924,61627.32434164924,2736.432655326904,13000.0,37890.891686322335,483.6676083903566,421.72687123028453,0.8972912153835841,4,True,True,2,0.03,0.35,2,500,1500,False,152109.6157899927
10,8000.0,39.490897860776926,202.57832648433512,47.32229706674069,132,False,16.56280397335924,0.0,3.115243540435872,19.678047513795114,69.50784892619058,25.71485444317445,95.22270336936502,31.414977624557338,0.129801814184828,73326.20612785696,73326.20612785696,3256.6811010809506,13000.0,49069.52502677601,483.01000318954164,406.54439900054484,0.8649880829798826,4,True,True,2,0.03,0.35,2,500,1500,False,201179.14081676872
