month,spend,cpl_eff,leads,demos,demo_cap,closer_capped,new_ads,warm,referrals,new,entry,upsold,active,case_studies,penetration,mrr,collections,tools,team,cash_flow,cac_ads,cac,payback,team_size,has_va,has_media,n_am,churn,close,metros,p_entry,p_full,premium_on,cum_cash
1,3000.0,28.688524590163937,104.57142857142857,28.23428571428571,88,False,5.646857142857143,0,0.0,5.646857142857143,5.646857142857143,0.0,5.646857142857143,0.0,0.0,2823.4285714285716,2823.4285714285716,569.4057142857143,0.0,-745.9771428571428,531.2689738919247,531.2689738919247,1.1303595189189888,0,False,False,0,0.03,0.2,1,500,1500,False,-745.9771428571428
2,3000.0,24.64171963867514,121.74475012253222,32.871082533083694,88,False,6.5742165066167395,0.0,0.2823428571428572,6.8565593637595965,12.334010792331025,0.0,12.334010792331025,0.0,0.01882285714285714,6167.005396165512,6167.005396165512,770.0203237699308,0.0,2396.9850723955815,456.3281414569471,437.53723126157496,0.9309302792799468,0,False,False,0,0.03,0.2,1,500,1500,False,1651.0079295384387
3,3000.0,29.690716279962306,101.04168493990299,28.372505131124758,110,False,5.674501026224952,0.0,0.6167005396165512,6.2912015658415035,15.86428448583117,2.3909075485714286,18.255192034402597,2.656563942857143,0.041113369307770084,11518.503565772728,11518.503565772728,947.6557610320779,1200.0,6370.84780474065,528.6808454409243,476.85644285961195,1.0145881762970468,1,True,False,0,0.03,0.2,1,500,1500,False,8021.855734279088
4,3000.0,29.39851289734709,102.04597798791104,28.654510619005418,110,False,9.537029109334428,0.0,0.9127596017201299,10.449788711054557,22.93504314489816,5.222281839526918,28.157324984425077,5.882232295537845,0.06085064011467532,19300.944331739454,19300.944331739454,1244.7197495327523,1200.0,13856.224582206702,314.5633682782546,287.08714433875383,0.6108237113590507,1,True,False,0,0.03,0.3328281971428571,1,500,1500,False,21878.08031648579
5,5000.0,33.534796394070426,149.09886260362364,41.86696061909752,132,False,14.653436216684131,0.0,1.407866249221254,16.061302465905385,35.64456811747148,7.729339583326231,43.37390770079771,8.84192807218798,0.09385774994808359,29416.293433725084,29416.293433725084,1701.2172310239312,8500.0,14215.076202701151,341.21689452656113,311.3072560966896,0.6623558640355098,3,True,True,1,0.03,0.35,1,500,1500,False,36093.156519186945
6,5000.0,43.11813520242309,115.96048800642514,32.56170503220417,132,False,11.39659676127146,0.0,2.1686953850398853,13.565292146311346,43.71603043105462,11.921952185030499,55.63798261608512,13.758031171303596,0.14457969233599235,39740.94349307306,39740.94349307306,2069.1394784825534,8500.0,24171.804014590503,438.7274644121194,368.5877123818223,0.784229175280473,3,True,True,1,0.03,0.35,1,500,1500,False,60264.96053377745
7,5000.0,44.02867181461269,113.56236274973318,31.88831146012508,132,False,11.160909011043778,0.0,2.781899130804256,13.942808141848033,49.54692188939435,18.364729390056254,67.91165127945061,21.314070916388786,0.18545994205361707,73889.65019715828,73889.65019715828,2437.3495383835184,8500.0,57952.30065877475,447.99218370586783,358.60781767432974,0.4980664134365691,3,True,True,1,0.03,0.35,1,750,2000,True,118217.26119255219
8,5000.0,52.537134900891786,95.17077795415007,26.72395444952534,132,False,7.950376448733788,0.0,3.3955825639725306,11.345959012706318,53.66286072420988,23.55740002956352,77.2202607537734,27.69586260662096,0.22637217093150203,87361.94560228445,87361.94560228445,2716.607822613202,13000.0,66645.33777967124,628.901037861713,440.68553344856167,0.6120632409007801,4,True,True,2,0.03,0.2975,1,750,2000,True,184862.59897222344
9,5000.0,60.21225290594616,83.03957680856405,23.317513167844783,132,False,6.936960167433822,0.0,3.86101303768867,10.797973205122492,56.947493426306906,28.754132709975778,85.70162613628268,34.25525669695337,0.25740086917924465,100218.88548968174,100218.88548968174,2971.0487840884807,13000.0,79247.83670559326,720.7768070332803,463.04986176739453,0.6431248080102702,4,True,True,2,0.03,0.2975,1,750,2000,True,264110.4356778167
10,5000.0,57.58550962133959,86.82739864382721,24.38113353918668,132,False,7.253387227908037,0.0,4.285081306814134,11.53846853472217,61.97360138246495,32.69544450445142,94.66904588691636,39.59296311448105,0.2856720871209423,111871.09004575155,111871.09004575155,3240.071376607491,13000.0,90631.01866914406,689.3331133297373,433.3330705850378,0.6018514869236635,4,True,True,2,0.03,0.2975,1,750,2000,True,354741.45434696076
