month,spend,cpl_eff,leads,demos,demo_cap,closer_capped,new_ads,warm,referrals,new,entry,upsold,active,case_studies,penetration,mrr,collections,tools,team,cash_flow,cac_ads,cac,payback,team_size,has_va,has_media,n_am,churn,close,metros,p_entry,p_full,premium_on,cum_cash
1,3000.0,31.249999999999996,96.00000000000001,21.504,88,False,4.300800000000001,0,0.0,4.300800000000001,4.300800000000001,0.0,4.300800000000001,0.0,0.0,2150.4,2150.4,529.024,0.0,-1378.6239999999998,697.5446428571428,697.5446428571428,1.4841375379939208,0,False,False,0,0.03,0.2,1,500,1500,False,-1378.6239999999998
2,3000.0,26.083571428571428,115.01492455568639,25.763343100473755,88,False,5.152668620094751,0.0,0.17203200000000002,5.324700620094751,9.49647662009475,0.0,9.49647662009475,0.0,0.014336000000000002,4748.238310047375,4748.238310047375,684.8942986028426,0.0,1063.3440114445327,582.2225765306122,563.411957599715,1.1987488459568405,0,False,False,0,0.03,0.2,1,500,1500,False,-315.27998855546707
3,3000.0,30.652664654818306,97.87077351294576,21.92305326689985,88,False,4.38461065337997,0.0,0.37985906480379,4.76446971818376,12.155071815675669,1.8209802240000001,13.976052039675668,2.02331136,0.0316549220669825,8809.006243837834,8809.006243837834,819.28156119027,0.0,4989.724682647564,684.21126461648,629.6608389702633,1.3397039127026877,0,False,False,0,0.03,0.2,1,500,1500,False,4674.444694092097
4,3000.0,29.74917731700449,100.84312477055337,23.55695394640127,110,False,7.094543415617779,0.0,0.5590420815870267,7.653585497204806,17.189500292358986,4.020855683331218,21.210355975690206,4.5283167667235755,0.04658684013225223,14626.03367117632,14626.03367117632,1036.3106792707063,1200.0,9389.722991905614,422.86019328542875,391.9731478920097,0.8339854210468292,1,True,False,0,0.03,0.301165568,1,500,1500,False,14064.16768599771
5,6000.0,32.69075787189286,183.53811262230573,42.874503108570615,110,False,15.006076087999714,0.0,0.8484142390276083,15.854490327027323,30.511005309587944,5.917530313858876,36.42853562344682,6.769761545643125,0.07070118658563401,24131.79812558229,24131.79812558229,1492.8560687034046,4000.0,12638.942056878885,399.8380365936016,378.4416828443696,0.8051950698816375,2,True,True,0,0.03,0.35,1,500,1500,False,26703.109742876593
6,6000.0,42.85712329150099,140.00006391445928,32.704014930417685,132,False,11.446405225646188,0.0,1.457141424937873,12.903546650584062,39.25865543344037,8.980570771887109,48.239226205327476,10.370390842803126,0.12142845207815607,33100.18387455085,33100.18387455085,1847.1767861598244,8500.0,16753.007088391027,524.1820363441902,464.9884378670742,0.9893371018448387,3,True,True,1,0.03,0.35,1,500,1500,False,43456.11683126762
7,6000.0,44.02772551001535,136.27776430638303,31.834485741971076,132,False,11.142070009689876,0.0,1.9295690482130992,13.071639057902974,44.43966435142512,15.424024125645499,59.863688477070625,17.82913581715313,0.16079742068442493,45355.86836418081,45355.86836418081,2195.910654312119,8500.0,28659.957709868693,538.4995781557651,459.00900211687406,0.9766148981210087,3,True,True,1,0.03,0.35,1,500,1500,False,72116.0745411363
8,6000.0,52.681259653442055,113.8924930700281,26.60528638115856,132,False,9.311850233405496,0.0,2.3945475390828252,11.706397772488321,49.349446023780146,20.424729571466678,69.77417559524682,23.899609338920403,0.19954562825690209,55311.81736909009,55311.81736909009,2493.2252678574046,13000.0,33818.59210123268,644.3402599491446,512.5402465052779,1.090511162777187,4,True,True,2,0.03,0.35,1,500,1500,False,105934.66664236897
9,6000.0,61.07878447827696,98.23378201204932,22.947411478014722,132,False,8.031594017305153,0.0,2.790967023809873,10.822561041115026,53.15692634887036,25.346585019634084,78.50351136850443,30.049161933710856,0.2325805853174894,64598.34070388631,64598.34070388631,2755.105341055133,13000.0,42843.235362831176,747.0497123076926,554.3974274855956,1.1795689946502035,4,True,True,2,0.03,0.35,1,500,1500,False,148777.90200520016
10,9000.0,58.79367260368092,153.07769699415806,35.758950017835325,132,False,12.515632506242364,0.0,3.1401404547401772,15.65577296098254,62.261444170526374,29.54273481790548,91.80417898843186,35.55643676577799,0.26167837122834814,75444.8243121214,75444.8243121214,3154.1253696529557,13000.0,50290.69894246845,719.1006923150798,574.8678153694411,1.2231230114243428,4,True,True,2,0.03,0.35,1,500,1500,False,199068.6009476686
