month,new_closes,new_upsells,entry_active,upsold_active,total_active,mrr,collections,ad_spend,tools,team_cost,cash_flow,cum_cash,cac_blended,payback_months,team_size,cpl,case_studies,close_rate,penetration,metros
1,0.81,0.0,0.81,0.0,0.81,405.0,405.0,3000.0,312.15,0.0,-2907.15,-2907.15,3703.7,5.23,0,40.0,0.0,0.072,0.0,1
2,1.396,0.0,2.18,0.0,2.18,1090.72,1090.72,3000.0,332.72,0.0,-2243.21,-5150.36,2150.26,3.37,0,33.27,0.0,0.102,0.0625,1
3,3.708,0.343,5.48,0.34,5.82,3255.01,3255.01,5000.0,387.36,0.0,-2135.63,-7285.99,1349.28,2.45,0,28.1,0.32,0.1373,0.1376,1
4,3.913,0.591,8.64,0.92,9.56,5704.62,5704.62,5000.0,443.43,0.0,252.46,-7033.54,1280.15,2.37,0,33.01,0.88,0.1671,0.2859,1
5,5.578,1.57,12.39,2.47,14.85,9892.45,9892.45,5000.0,522.79,0.0,4355.31,-2678.23,898.97,1.88,0,34.27,2.37,0.2462,0.4122,1
6,10.041,1.657,20.4,4.05,24.45,16272.84,16272.84,8000.0,666.73,4000.0,3583.83,905.6,798.94,1.67,1,34.97,3.93,0.284,0.5337,1
7,9.966,2.362,27.39,6.29,33.68,23129.54,23129.54,8000.0,805.22,5800.0,8487.65,9393.25,806.38,1.68,2,37.17,6.16,0.2936,0.7244,1
8,9.357,4.251,31.68,10.35,42.03,31365.6,31365.6,8000.0,930.42,5800.0,16584.66,25977.9,860.38,1.8,2,42.84,10.18,0.31,0.9037,1
9,9.304,4.22,35.81,14.26,50.07,39296.64,39296.64,8000.0,1051.07,5800.0,24382.52,50360.43,866.58,1.81,2,43.95,12,0.31,1.0593,1
10,10.419,3.962,41.19,17.79,58.99,47289.16,47289.16,10000.0,1184.83,10300.0,25729.23,76089.65,966.97,2.01,3,49.37,12,0.31,1.211,1
11,10.398,3.94,46.42,21.2,67.62,55009.24,55009.24,10000.0,1314.26,10300.0,33306.49,109396.15,970.19,2.02,3,50.44,12,0.31,1.3798,1
12,9.586,4.412,50.2,24.98,75.17,62563.5,62563.5,10000.0,1427.62,12100.0,38934.45,148330.6,1053.77,2.11,4,56.48,12,0.31,1.545,1
13,9.694,4.403,53.98,28.63,82.61,69936.25,69936.25,10000.0,1539.2,12100.0,46184.28,194514.89,1043.22,2.1,4,56.77,12,0.31,1.6926,1
14,9.064,4.059,57.37,31.83,89.2,76429.15,76429.15,10000.0,1637.99,12100.0,52567.24,247082.12,1116.88,2.18,4,62.73,12,0.31,1.8393,1
15,9.232,4.104,60.78,34.98,95.76,82856.44,82856.44,10000.0,1736.33,16600.0,54386.31,301468.43,1097.74,2.16,5,62.44,12,0.31,1.9722,1
16,8.714,3.838,63.83,37.77,101.6,88565.54,88565.54,10000.0,1823.94,16600.0,59997.97,361466.4,1164.1,2.24,5,68.4,12,0.31,2.1057,1
17,8.91,3.909,66.91,40.54,107.46,94272.22,94272.22,10000.0,1911.87,18400.0,63807.95,425274.36,1139.45,2.21,6,67.61,12,0.31,2.2275,1
18,8.466,3.689,69.68,43.02,112.7,99366.69,99366.69,10000.0,1990.51,18400.0,68814.99,494089.35,1200.18,2.28,6,73.61,12,0.31,2.3508,1
19,8.677,3.773,72.5,45.5,118.0,104496.74,104496.74,10000.0,2069.95,18400.0,73857.73,567947.08,1171.94,2.25,6,72.4,12,0.31,2.464,1
20,8.286,3.585,75.03,47.72,122.74,109089.72,109089.72,10000.0,2141.15,18400.0,78371.58,646318.66,1228.17,2.31,6,78.46,12,0.31,2.5791,1
21,8.503,3.674,77.6,49.96,127.56,113742.7,113742.7,10000.0,2213.47,18400.0,82945.12,729263.78,1197.64,2.28,6,76.88,12,0.31,2.6853,1
22,8.152,3.508,79.92,51.97,131.89,117914.87,117914.87,10000.0,2278.34,20200.0,85245.19,814508.96,1250.17,2.34,7,83.03,12,0.31,2.7937,1
23,8.371,3.6,82.29,54.01,136.3,122163.41,122163.41,10000.0,2344.56,24700.0,84921.02,899429.98,1218.21,2.3,8,81.1,12,0.31,2.8941,1
24,8.05,3.452,84.42,55.84,140.26,125975.01,125975.01,10000.0,2403.97,24700.0,88666.58,988096.57,1267.66,2.35,8,87.34,12,0.31,2.9968,1
