month,new_closes,new_upsells,entry_active,upsold_active,total_active,mrr,collections,ad_spend,tools,team_cost,cash_flow,cum_cash,cac_blended,payback_months,team_size,cpl,case_studies,close_rate,penetration,metros
1,0.375,0.0,0.37,0.0,0.37,187.5,187.5,1500.0,305.62,0.0,-1618.12,-1618.12,4000.0,6.17,0,43.2,0.0,0.072,0.0,1
2,0.884,0.0,1.25,0.0,1.25,623.95,623.95,2000.0,318.72,0.0,-1695.34,-3313.46,2262.72,3.73,0,34.91,0.0,0.102,0.0289,1
3,1.234,0.116,2.33,0.12,2.44,1338.87,1338.87,2000.0,336.67,0.0,-999.67,-4313.13,1621.71,2.87,0,31.75,0.15,0.128,0.0767,1
4,1.511,0.275,3.49,0.39,3.88,2328.6,2328.6,2000.0,358.23,0.0,-33.3,-4346.43,1326.28,2.48,0,30.14,0.5,0.1469,0.1292,1
5,1.649,0.383,4.66,0.76,5.42,3466.75,3466.75,2000.0,381.23,0.0,1079.69,-3266.74,1216.06,2.34,0,33.06,1.0,0.1732,0.1845,1
6,1.821,0.469,5.87,1.21,7.07,4742.42,4742.42,2000.0,406.11,0.0,2328.19,-938.55,1102.64,2.19,0,35.98,1.6,0.2054,0.2349,1
7,2.275,0.512,7.46,1.68,9.14,6249.79,6249.79,2000.0,437.05,0.0,3802.12,2863.58,883.79,1.85,0,33.83,2.26,0.2406,0.2812,1
8,2.462,0.565,9.13,2.2,11.32,7858.81,7858.81,2000.0,469.87,0.0,5375.24,8238.81,817.88,1.71,0,36.78,2.99,0.2795,0.3305,1
9,2.369,0.706,10.52,2.84,13.35,9513.97,9513.97,2000.0,500.31,0.0,6996.67,15235.48,851.38,1.78,0,39.74,3.9,0.2839,0.3758,1
10,2.593,0.764,12.03,3.52,15.55,11289.71,11289.71,2000.0,533.2,0.0,8736.47,23971.95,778.92,1.62,0,37.15,4.88,0.2881,0.4177,1
11,2.494,0.736,13.43,4.15,17.57,12933.43,12933.43,2000.0,563.61,0.0,10346.5,34318.45,811.39,1.69,0,40.15,5.83,0.2921,0.4626,1
12,2.412,0.805,14.63,4.83,19.46,14556.82,14556.82,2000.0,591.89,0.0,11938.57,46257.02,840.01,1.75,0,43.17,6.87,0.2966,0.5041,1
13,2.635,0.774,16.05,5.46,21.51,16211.93,16211.93,2000.0,622.66,0.0,13560.08,59817.1,770.06,1.61,0,40.19,7.87,0.3009,0.5427,1
14,2.546,0.749,17.37,6.04,23.41,17747.35,17747.35,2000.0,651.16,0.0,15063.93,74881.03,798.37,1.67,0,43.26,8.83,0.305,0.5842,1
15,2.472,0.818,18.5,6.68,25.18,19269.0,19269.0,2000.0,677.7,1800.0,14756.18,89637.21,823.35,1.72,1,46.34,9.89,0.3095,0.6227,1
16,2.666,0.79,19.82,7.27,27.09,20814.37,20814.37,2000.0,706.36,1800.0,16270.24,105907.45,764.32,1.59,1,43.01,10.9,0.31,0.6587,1
17,2.557,0.767,21.02,7.82,28.84,22236.02,22236.02,2000.0,732.53,1800.0,17662.85,123570.3,797.99,1.67,1,46.14,11.89,0.31,0.6974,1
18,2.463,0.828,22.02,8.41,30.43,23628.18,23628.18,2000.0,756.5,1800.0,19028.43,142598.73,829.64,1.73,1,49.31,12,0.31,0.7335,1
19,2.646,0.794,23.21,8.95,32.17,25036.37,25036.37,2000.0,782.49,1800.0,20408.23,163006.96,773.09,1.61,1,45.65,12,0.31,0.7673,1
20,2.547,0.765,24.3,9.45,33.75,26323.34,26323.34,2000.0,806.22,1800.0,21668.87,184675.83,804.27,1.68,1,48.86,12,0.31,0.8039,1
21,2.46,0.822,25.21,9.99,35.2,27585.25,27585.25,2000.0,827.93,1800.0,22906.7,207582.53,833.58,1.74,1,52.1,12,0.31,0.838,1
22,2.636,0.791,26.3,10.48,36.78,28866.33,28866.33,2000.0,851.63,1800.0,24161.91,231744.44,778.82,1.62,1,48.14,12,0.31,0.87,1
23,2.544,0.764,27.29,10.93,38.22,30036.07,30036.07,2000.0,873.24,1800.0,25307.66,257052.1,807.92,1.69,1,51.43,12,0.31,0.9046,1
24,2.463,0.818,28.11,11.42,39.53,31184.93,31184.93,2000.0,892.99,1800.0,26434.62,283486.72,835.26,1.74,1,54.75,12,0.31,0.937,1
