month,ad_spend,indie,indie_entry,indie_full,fran,biggest_brand,mrr,fran_share,concentration,cash_flow,cum_cash,team,cpl
1,2500,3.2,3.2,0.0,0.0,0.0,1588,0.0,0.0,-1260,-1260,0,40.0
2,2500,6.8,6.8,0.0,0.0,0.0,3386,0.0,0.0,470,-790,0,33.0
3,2500,11.7,10.3,1.3,0.0,0.0,7188,0.0,0.0,4182,3392,0,27.6
4,2500,17.2,14.3,2.9,8.0,8.0,20268,0.434,0.434,17038,20430,0,30.8
5,2500,22.5,17.5,4.9,8.3,7.9,25330,0.361,0.342,21958,42388,0,30.8
6,4000,29.4,22.1,7.3,8.7,7.8,31480,0.302,0.271,21974,64362,1,34.0
7,4000,36.2,26.7,9.5,9.0,7.6,37498,0.264,0.224,26052,90414,2,34.5
8,4000,42.3,29.9,12.4,9.4,7.5,43889,0.235,0.189,32314,122728,2,38.6
9,4000,48.4,33.1,15.3,9.7,7.4,50230,0.213,0.162,38529,161258,2,38.7
10,4000,54.2,36.3,17.9,16.1,7.3,62771,0.283,0.128,50857,212115,2,42.6
11,4000,60.2,39.7,20.5,17.3,7.2,69596,0.273,0.114,52986,265101,3,42.4
12,6000,68.1,45.1,23.0,18.5,7.1,77300,0.263,0.101,56721,321823,4,46.3
13,6000,76.1,50.6,25.5,19.8,7.0,85287,0.255,0.09,64525,386347,4,46.6
14,6000,83.8,55.0,28.8,21.1,6.9,93976,0.247,0.081,73034,459381,4,51.4
15,6000,91.8,59.6,32.2,22.6,6.8,102989,0.242,0.072,80061,539442,5,51.2
16,6000,99.5,64.0,35.5,30.2,6.7,118460,0.28,0.062,90758,630200,6,56.0
17,6000,107.5,68.7,38.9,32.3,6.6,128171,0.277,0.056,100233,730433,6,55.4
18,6000,115.4,73.3,42.1,34.6,6.5,137861,0.276,0.052,105221,835654,7,60.3
19,6000,123.6,78.0,45.5,37.0,6.4,148005,0.275,0.047,113357,949011,8,59.3
20,6000,131.6,82.8,48.9,39.6,6.3,158205,0.275,0.044,123345,1072356,8,64.2
21,6000,140.0,87.7,52.3,42.4,6.2,168902,0.276,0.04,132023,1204378,9,62.9
22,6000,148.3,92.6,55.7,45.3,6.1,179726,0.277,0.037,138121,1342499,10,67.9
23,6000,157.0,97.7,59.3,48.5,6.0,191091,0.279,0.035,149253,1491752,10,66.4
24,6000,165.6,102.8,62.8,51.9,5.9,202648,0.282,0.032,158771,1650523,11,71.5
