month,new_closes,new_upsells,entry_active,upsold_active,total_active,mrr,collections,ad_spend,tools,team_cost,cash_flow,cum_cash,cac_blended,payback_months,team_size,cpl,case_studies,close_rate,penetration,metros
1,3.04,0.0,3.04,0.0,3.04,1520.0,1520.0,2000.0,345.6,0.0,-825.6,-825.6,657.89,1.37,0,40.0,0.0,0.072,0.0,1
2,3.701,0.0,6.65,0.0,6.65,3324.8,3324.8,2500.0,399.74,0.0,411.37,-414.23,679.23,1.41,0,32.68,0.0,0.102,0.0417,1
3,5.099,1.287,10.26,1.29,11.55,7061.72,7061.72,2500.0,473.24,0.0,4058.56,3644.33,496.16,1.02,0,27.37,1.22,0.1849,0.1054,1
4,5.855,1.567,14.24,2.82,17.06,11344.25,11344.25,2500.0,555.86,0.0,8236.41,11880.74,435.87,0.9,0,30.54,2.7,0.2638,0.1815,1
5,6.191,2.159,17.85,4.89,22.74,16258.32,16258.32,2500.0,641.05,0.0,13040.51,24921.26,416.22,0.86,0,30.62,4.74,0.2874,0.2497,1
6,6.032,2.479,20.86,7.22,28.09,21265.52,21265.52,2500.0,721.3,1800.0,16141.9,41063.16,431.42,0.89,1,33.76,7.08,0.2975,0.3178,1
7,6.226,2.621,23.84,9.63,33.47,26361.63,26361.63,2500.0,802.04,1800.0,21133.2,62196.36,421.87,0.87,1,33.54,9.55,0.3081,0.3795,1
8,6.004,2.554,26.58,11.89,38.47,31126.58,31126.58,2500.0,877.04,1800.0,25798.93,87995.29,441.5,0.91,1,36.68,11.97,0.31,0.4416,1
9,6.095,2.636,29.24,14.17,43.41,35876.13,35876.13,2500.0,951.15,1800.0,30451.87,118447.17,438.59,0.9,1,36.21,12,0.31,0.4984,1
10,5.886,2.542,31.71,16.29,47.99,40284.76,40284.76,2500.0,1019.9,6300.0,30269.51,148716.68,457.94,0.94,2,39.38,12,0.31,0.5559,1
11,5.984,2.581,34.16,18.38,52.54,44648.72,44648.72,2500.0,1088.06,6300.0,34544.68,183261.36,453.88,0.94,2,38.7,12,0.31,0.6088,1
12,5.926,2.492,36.57,20.32,56.89,48764.5,48764.5,2500.0,1153.32,6300.0,38574.77,221836.13,461.74,0.95,2,41.91,12,0.31,0.6627,1
13,6.247,2.534,39.18,22.24,61.43,52958.51,52958.51,2500.0,1221.42,6300.0,42681.1,264517.23,441.2,0.91,2,41.03,12,0.31,0.7124,1
14,6.311,2.509,41.81,24.09,65.9,57034.51,57034.51,2500.0,1288.44,6300.0,46669.64,311186.87,439.93,0.91,2,44.28,12,0.31,0.7632,1
15,6.643,2.645,44.55,26.01,70.56,61289.77,61289.77,2500.0,1358.43,8100.0,49034.81,360221.68,420.98,0.87,3,43.23,12,0.31,0.8102,1
16,6.732,2.672,47.28,27.9,75.18,65489.25,65489.25,2500.0,1427.66,8100.0,53144.06,413365.75,418.52,0.86,3,46.53,12,0.31,0.8584,1
17,7.076,2.813,50.12,29.88,80.0,69875.02,69875.02,2500.0,1499.96,8100.0,57436.76,470802.5,401.14,0.83,3,45.32,12,0.31,0.9032,1
18,7.188,2.85,52.96,31.83,84.79,74223.28,74223.28,2500.0,1571.79,8100.0,61691.51,532494.01,397.87,0.82,3,48.67,12,0.31,0.9491,1
19,7.544,2.996,55.91,33.87,89.79,78764.39,78764.39,2500.0,1646.79,8100.0,66136.06,598630.07,381.97,0.79,3,47.32,12,0.31,0.9919,1
20,7.679,3.044,58.87,35.9,94.77,83284.45,83284.45,2500.0,1721.57,12600.0,66058.84,664688.91,378.18,0.78,4,50.72,12,0.31,1.036,1
21,8.047,3.194,61.96,38.02,99.98,88003.77,88003.77,2500.0,1799.64,12600.0,70677.66,735366.57,363.65,0.75,4,49.23,12,0.31,1.077,1
22,8.205,3.251,65.05,40.13,105.18,92717.28,92717.28,2500.0,1877.72,14400.0,73489.67,808856.25,359.54,0.74,5,52.69,12,0.31,1.1194,1
23,8.587,3.407,68.28,42.33,110.61,97636.57,97636.57,2500.0,1959.19,14400.0,78304.06,887160.31,346.26,0.71,5,51.08,12,0.31,1.1589,1
24,8.766,3.474,71.53,44.53,116.06,102564.44,102564.44,2500.0,2040.91,14400.0,83125.78,970286.09,341.97,0.71,5,54.59,12,0.31,1.1997,1
