month,new_closes,new_upsells,entry_active,upsold_active,total_active,mrr,collections,ad_spend,tools,team_cost,cash_flow,cum_cash,cac_blended,payback_months,team_size,cpl,case_studies,close_rate,penetration,metros
1,0.54,0.0,0.54,0.0,0.54,270.0,270.0,2000.0,308.1,0.0,-2038.1,-2038.1,3703.7,5.23,0,40.0,0.0,0.072,0.0,1
2,1.184,0.0,1.71,0.0,1.71,853.85,853.85,2500.0,325.62,0.0,-1972.78,-4010.88,2112.53,3.32,0,32.68,0.0,0.102,0.0417,1
3,1.845,0.229,3.27,0.23,3.5,1979.14,1979.14,2500.0,352.52,0.0,-876.57,-4887.45,1357.08,2.46,0,27.37,0.22,0.1315,0.1054,1
4,2.013,0.501,4.69,0.72,5.41,3427.37,3427.37,2500.0,381.13,0.0,539.68,-4347.77,1245.39,2.33,0,30.54,0.69,0.1568,0.1815,1
5,2.537,0.781,6.3,1.48,7.78,5374.15,5374.15,2500.0,416.75,0.0,2447.26,-1900.52,989.33,2.04,0,30.62,1.43,0.1961,0.2497,1
6,2.85,0.852,8.11,2.29,10.4,7490.23,7490.23,2500.0,456.01,0.0,4519.63,2619.11,882.24,1.84,0,33.76,2.23,0.2391,0.3178,1
7,3.403,1.074,10.2,3.3,13.49,10041.07,10041.07,2500.0,502.36,0.0,7019.21,9638.32,740.47,1.54,0,33.54,3.25,0.2811,0.3795,1
8,3.26,1.207,11.94,4.4,16.35,12576.85,12576.85,2500.0,545.2,0.0,9506.36,19144.67,774.53,1.62,0,36.68,4.39,0.2859,0.4416,1
9,3.43,1.441,13.57,5.71,19.29,15355.24,15355.24,2500.0,589.29,0.0,12235.29,31379.97,737.79,1.54,0,36.21,5.75,0.2918,0.4984,1
10,7.278,1.38,19.06,6.92,25.99,19914.16,19914.16,5000.0,689.79,1800.0,12388.21,43768.17,691.95,1.44,1,32.82,7.05,0.2974,0.278,2
11,8.382,1.452,25.42,8.17,33.59,24959.93,24959.93,5000.0,803.82,5800.0,13307.38,57075.55,602.34,1.25,2,29.41,8.42,0.3032,0.3415,2
12,8.018,3.082,29.6,11.0,40.6,31301.56,31301.56,5000.0,908.97,5800.0,19529.61,76605.16,631.48,1.31,2,32.39,11.34,0.31,0.4123,2
13,13.068,3.549,38.23,14.22,52.45,40445.51,40445.51,7500.0,1086.72,5800.0,25982.67,102587.83,579.74,1.2,2,28.93,12,0.31,0.3177,3
14,12.24,3.395,45.93,17.19,63.11,48746.74,48746.74,7500.0,1246.72,10300.0,29601.68,132189.51,620.79,1.29,3,31.91,12,0.31,0.3897,3
15,12.575,5.533,51.59,22.21,73.8,59104.75,59104.75,7500.0,1406.94,12100.0,37979.48,170168.98,605.85,1.26,4,31.71,12,0.31,0.455,3
16,11.896,5.182,56.76,26.72,83.48,68462.16,68462.16,7500.0,1552.17,12100.0,47171.62,217340.6,642.08,1.33,4,34.7,12,0.31,0.5207,3
17,12.266,5.324,61.99,31.25,93.24,77865.61,77865.61,7500.0,1698.6,12100.0,56410.48,273751.09,624.19,1.3,4,34.26,12,0.31,0.5808,3
18,11.689,5.037,66.79,35.35,102.13,86411.27,86411.27,7500.0,1831.99,16600.0,60304.46,334055.55,656.57,1.36,5,37.27,12,0.31,0.6416,3
19,12.076,5.194,71.67,39.48,111.14,95050.5,95050.5,7500.0,1967.16,18400.0,66991.84,401047.38,636.93,1.32,6,36.62,12,0.31,0.6975,3
20,11.571,4.949,76.14,43.24,119.38,102933.87,102933.87,7500.0,2090.72,18400.0,74734.76,475782.15,666.18,1.39,6,39.66,12,0.31,0.7544,3
21,11.964,5.113,80.7,47.06,127.76,110940.75,110940.75,7500.0,2216.45,18400.0,82600.45,558382.6,645.6,1.34,6,38.84,12,0.31,0.8069,3
22,11.513,4.899,84.9,50.55,135.44,118268.38,118268.38,7500.0,2331.66,20200.0,87997.16,646379.77,672.24,1.4,7,41.92,12,0.31,0.8605,3
23,11.906,5.066,89.19,54.1,143.29,125739.06,125739.06,7500.0,2449.3,24700.0,90835.8,737215.57,651.24,1.35,8,40.93,12,0.31,0.9102,3
24,11.497,4.875,93.14,57.35,150.49,132590.32,132590.32,7500.0,2557.28,24700.0,97564.38,834779.95,675.69,1.41,8,44.06,12,0.31,0.9611,3
