month,new_closes,new_upsells,entry_active,upsold_active,total_active,mrr,collections,ad_spend,tools,team_cost,cash_flow,cum_cash,cac_blended,payback_months,team_size,cpl,case_studies,close_rate,penetration,metros
1,0.587,0.0,0.59,0.0,0.59,293.48,293.48,2000.0,308.8,0.0,-2015.33,-2015.33,3407.41,4.46,0,36.8,0.0,0.072,0.0,1
2,1.349,0.0,1.92,0.0,1.92,959.27,959.27,2500.0,328.78,0.0,-1870.82,-3886.15,1853.93,2.88,0,28.72,0.0,0.102,0.0453,1
3,2.011,0.331,3.54,0.33,3.87,2267.4,2267.4,2500.0,358.08,0.0,-594.99,-4481.14,1245.25,2.28,0,25.44,0.23,0.1325,0.1178,1
4,2.345,0.762,5.02,1.08,6.1,4133.78,4133.78,2500.0,391.52,0.0,1233.55,-3247.6,1069.61,2.11,0,27.13,0.77,0.1613,0.1997,1
5,2.849,1.135,6.58,2.19,8.77,6569.65,6569.65,2500.0,431.51,0.0,3624.41,376.82,882.29,1.84,0,28.72,1.58,0.2042,0.2765,1
6,3.417,1.324,8.48,3.44,11.92,9405.38,9405.38,2500.0,478.83,0.0,6406.82,6783.64,737.31,1.54,0,30.22,2.52,0.2542,0.349,1
7,3.708,1.608,10.32,4.95,15.27,12585.83,12585.83,2500.0,529.09,0.0,9529.92,16313.55,681.38,1.42,0,31.65,3.66,0.2828,0.418,1
8,5.705,1.929,13.79,6.73,20.52,16989.8,16989.8,4000.0,607.78,0.0,12347.66,28661.21,707.22,1.47,0,33.01,5.02,0.2887,0.4838,1
9,5.658,2.094,16.94,8.62,25.56,21402.75,21402.75,4000.0,683.42,1800.0,14873.16,43534.37,715.09,1.49,1,35.1,6.51,0.295,0.5847,1
10,5.7,3.22,18.91,11.58,30.5,26831.31,26831.31,4000.0,757.43,1800.0,20216.37,63750.74,711.79,1.48,1,37.07,8.79,0.3048,0.6797,1
11,5.215,3.194,20.36,14.43,34.8,44134.44,44134.44,4000.0,821.93,1800.0,37443.9,101194.64,780.21,1.06,1,38.93,11.05,0.279,0.7696,1
12,5.157,3.218,21.69,17.22,38.91,50700.45,50700.45,4000.0,883.62,6300.0,39438.54,140633.18,790.9,1.08,2,40.7,12,0.279,0.8552,1
13,5.115,2.944,23.21,19.64,42.86,56695.97,56695.97,4000.0,942.84,6300.0,45365.59,185998.77,799.05,1.09,2,42.4,12,0.279,0.9371,1
14,5.088,2.911,24.69,21.96,46.66,62449.91,62449.91,4000.0,999.87,6300.0,51053.61,237052.38,805.12,1.1,2,44.03,12,0.279,1.0157,1
15,5.071,2.888,26.14,24.19,50.33,67989.78,67989.78,4000.0,1054.95,6300.0,56529.85,293582.23,809.45,1.1,2,45.59,12,0.279,1.0915,1
16,5.064,2.872,27.54,26.34,53.88,73338.2,73338.2,4000.0,1108.25,6300.0,61816.7,355398.93,812.33,1.11,2,47.11,12,0.279,1.1646,1
17,5.063,2.863,28.92,28.41,57.33,78514.01,78514.01,4000.0,1159.95,6300.0,66932.82,422331.75,813.99,1.11,2,48.57,12,0.279,1.2353,1
18,5.068,2.859,30.26,30.42,60.68,83533.12,83533.12,4000.0,1210.18,6300.0,71893.95,494225.71,814.65,1.11,2,49.99,12,0.279,1.304,1
19,5.079,2.858,31.57,32.37,63.94,88409.14,88409.14,4000.0,1259.06,6300.0,76713.56,570939.26,814.45,1.11,2,51.37,12,0.279,1.3706,1
20,5.094,2.861,32.86,34.26,67.11,93153.78,93153.78,4000.0,1306.69,10800.0,76903.23,647842.49,813.53,1.11,3,52.72,12,0.279,1.4355,1
21,5.112,2.867,34.12,36.1,70.21,97777.23,97777.23,4000.0,1353.17,10800.0,81473.05,729315.55,812.01,1.11,3,54.02,12,0.279,1.4988,1
22,5.133,2.876,35.35,37.89,73.24,102288.41,102288.41,4000.0,1398.57,10800.0,85931.86,815247.41,809.99,1.11,3,55.3,12,0.279,1.5605,1
23,5.157,2.886,36.56,39.64,76.2,106695.21,106695.21,4000.0,1442.98,12600.0,88487.45,903734.86,807.54,1.1,4,56.55,12,0.279,1.6207,1
24,5.184,2.898,37.75,41.35,79.1,111004.62,111004.62,4000.0,1486.44,12600.0,92746.73,996481.59,804.73,1.1,4,57.77,12,0.279,1.6797,1
