month,new_closes,new_upsells,entry_active,upsold_active,total_active,mrr,collections,ad_spend,tools,team_cost,cash_flow,cum_cash,cac_blended,payback_months,team_size,cpl,case_studies,close_rate,penetration,metros
1,0.81,0.0,0.81,0.0,0.81,405.0,405.0,3000.0,312.15,0.0,-2907.15,-2907.15,3703.7,5.23,0,40.0,0.0,0.072,0.0,1
2,1.4,0.0,2.19,0.0,2.19,1092.75,1092.75,3000.0,332.78,0.0,-2241.55,-5148.7,2144.26,3.36,0,33.27,0.0,0.102,0.0625,1
3,4.452,0.343,6.23,0.34,6.57,3628.92,3628.92,6000.0,398.58,0.0,-2773.76,-7922.46,1348.63,2.45,0,28.1,0.32,0.1373,0.1376,1
4,4.627,0.593,10.08,0.93,11.0,6426.36,6426.36,6000.0,465.03,0.0,-50.99,-7973.45,1299.33,2.39,0,33.71,0.88,0.1671,0.3156,1
5,6.932,1.885,14.82,2.78,17.6,11584.48,11584.48,6000.0,564.06,1800.0,3199.79,-4773.66,868.55,1.82,1,35.44,2.66,0.2621,0.4639,1
6,7.506,1.959,19.92,4.66,24.58,16949.36,16949.36,6000.0,668.73,5800.0,4447.62,-326.04,803.71,1.68,2,36.49,4.52,0.2865,0.605,1
7,11.349,2.935,27.74,7.45,35.19,25050.14,25050.14,9000.0,827.9,5800.0,9376.15,9050.1,797.11,1.66,2,37.53,7.29,0.2984,0.7421,1
8,10.467,3.178,34.2,10.41,44.6,32710.36,32710.36,9000.0,969.07,5800.0,16875.31,25925.41,866.15,1.81,2,43.65,10.29,0.31,0.9419,1
9,10.404,4.805,38.77,14.9,53.67,41736.2,41736.2,9000.0,1105.06,10300.0,21247.51,47172.92,873.07,1.82,3,45.05,12,0.31,1.1137,1
10,9.573,4.432,42.75,18.89,61.63,49702.18,49702.18,9000.0,1224.49,10300.0,29077.06,76249.98,950.69,1.99,3,50.85,12,0.31,1.2802,1
11,9.681,4.405,46.74,22.72,69.47,57456.87,57456.87,9000.0,1341.98,10300.0,36699.33,112949.31,941.58,1.97,3,51.41,12,0.31,1.4277,1
12,10.697,4.053,51.98,26.1,78.08,65134.87,65134.87,11000.0,1471.18,12100.0,40433.45,153382.75,1040.48,2.1,4,57.08,12,0.31,1.5736,1
13,10.83,4.099,57.15,29.41,86.57,72694.64,72694.64,11000.0,1598.48,12100.0,47849.76,201232.51,1029.26,2.08,4,57.62,12,0.31,1.7342,1
14,10.171,4.529,61.08,33.06,94.14,80128.69,80128.69,11000.0,1712.1,12100.0,55154.28,256386.79,1097.43,2.16,4,63.88,12,0.31,1.8933,1
15,10.378,4.585,65.04,36.65,101.69,87498.98,87498.98,11000.0,1825.4,16600.0,57897.07,314283.86,1076.97,2.14,5,63.74,12,0.31,2.0368,1
16,9.851,4.307,68.63,39.86,108.49,94105.88,94105.88,11000.0,1927.4,18400.0,62587.81,376871.67,1136.04,2.21,6,69.99,12,0.31,2.1806,1
17,10.092,4.394,72.27,43.06,115.33,100722.87,100722.87,11000.0,2029.96,18400.0,69089.48,445961.16,1110.09,2.18,6,69.31,12,0.31,2.3115,1
18,9.65,4.171,75.58,45.94,121.52,106697.16,106697.16,11000.0,2122.82,18400.0,74958.1,520919.26,1162.26,2.24,6,75.59,12,0.31,2.4438,1
19,9.909,4.273,78.95,48.83,127.78,112723.95,112723.95,11000.0,2216.77,18400.0,80879.33,601798.58,1133.09,2.2,6,74.44,12,0.31,2.5651,1
20,9.526,4.086,82.02,51.45,133.48,118191.45,118191.45,11000.0,2302.16,20200.0,84449.69,686248.27,1179.84,2.26,7,80.78,12,0.31,2.6882,1
21,9.792,4.196,85.16,54.1,139.27,123737.51,123737.51,11000.0,2388.99,24700.0,85398.25,771646.53,1148.87,2.22,8,79.23,12,0.31,2.8017,1
22,9.453,4.034,88.03,56.52,144.54,128785.52,128785.52,11000.0,2468.11,24700.0,90356.29,862002.81,1191.25,2.27,8,85.66,12,0.31,2.9174,1
23,9.721,4.146,90.96,58.97,149.93,133928.87,133928.87,11000.0,2548.89,24700.0,95408.96,957411.77,1159.4,2.23,8,83.74,12,0.31,3.0244,1
24,9.415,4.003,93.64,61.2,154.84,138621.15,138621.15,11000.0,2622.65,24700.0,100017.39,1057429.16,1198.18,2.28,8,90.26,12,0.31,3.1338,1
